tempo,SP,PV,MV
0.0,80.0,68.766792,42.233879
1.0,80.0,68.5958515,42.233879
2.0,80.0,68.424911,42.233879
2.0,80.0,68.424911,42.233879
3.0,80.0,68.424911,42.233879
4.0,80.0,68.424911,46.142643
5.0,80.0,68.424911,50.051407
5.0,80.0,68.424911,50.051407
6.0,80.0,68.57142999999999,50.051407
7.0,80.0,68.717949,50.051407
7.0,80.0,68.717949,50.051407
8.0,80.0,68.717949,50.051407
9.0,80.0,68.717949,50.051407
10.0,80.0,68.717949,52.6592675
11.0,80.0,68.85632833333334,55.267128
11.0,80.0,68.99470766666667,55.267128
12.0,80.0,69.133087,55.267128
12.0,80.0,69.133087,55.267128
13.0,80.0,69.133087,55.267128
14.0,80.0,69.133087,55.267128
15.0,80.0,69.37728849999999,55.267128
16.0,80.0,69.62149,55.267128
16.0,80.0,69.62149,55.267128
17.0,80.0,69.62149,57.8600845
18.0,80.0,69.62149,60.453041
18.0,80.0,69.62149,60.453041
19.0,80.0,69.62149,60.453041
20.0,80.0,69.9023205,60.453041
21.0,80.0,70.183151,60.453041
21.0,80.0,70.183151,60.453041
22.0,80.0,70.183151,60.453041
23.0,80.0,70.183151,60.453041
24.0,80.0,70.183151,62.9284475
25.0,80.0,70.46805033333332,65.403854
25.0,80.0,70.75294966666667,65.403854
26.0,80.0,71.037849,65.403854
27.0,80.0,71.037849,65.403854
27.0,80.0,71.037849,65.403854
27.0,80.0,71.037849,65.403854
27.0,80.0,71.037849,65.403854
27.0,80.0,71.037849,65.403854
27.0,80.0,71.037849,65.403854
27.0,80.0,71.037849,65.403854
27.0,80.0,71.037849,65.403854
28.0,80.0,71.037849,65.403854
29.0,80.0,71.037849,67.098442
30.0,80.0,71.33089166666666,68.79303
30.0,80.0,71.62393433333334,68.79303
31.0,80.0,71.916977,68.79303
31.0,80.0,71.916977,68.79303
32.0,80.0,71.916977,68.79303
33.0,80.0,72.271065,68.79303
34.0,80.0,72.625153,68.79303
34.0,80.0,72.625153,68.79303
35.0,80.0,72.625153,70.5575565
36.0,80.0,72.625153,72.322083
36.0,80.0,72.625153,72.322083
37.0,80.0,73.07692349999999,72.322083
38.0,80.0,73.528694,72.322083
38.0,80.0,73.528694,72.322083
39.0,80.0,73.528694,72.322083
40.0,80.0,73.528694,72.322083
41.0,80.0,73.528694,73.67239000000001
42.0,80.0,73.82987466666667,75.022697
42.0,80.0,74.13105533333334,75.022697
43.0,80.0,74.432236,75.022697
43.0,80.0,74.432236,75.022697
44.0,80.0,74.432236,75.022697
45.0,80.0,74.432236,75.022697
46.0,80.0,74.94505699999999,75.022697
47.0,80.0,75.457878,75.58715033333333
47.0,80.0,75.457878,76.15160366666667
48.0,80.0,75.457878,76.716057
48.0,80.0,75.457878,76.716057
49.0,80.0,75.457878,76.716057
50.0,80.0,75.457878,76.716057
51.0,80.0,75.9340665,76.716057
52.0,80.0,76.410255,76.716057
52.0,80.0,76.410255,76.716057
53.0,80.0,76.410255,77.284035
54.0,80.0,76.410255,77.852013
54.0,80.0,76.410255,77.852013
55.0,80.0,76.8864475,77.852013
56.0,80.0,77.36264,77.852013
57.0,80.0,77.36264,77.852013
57.0,80.0,77.36264,77.852013
57.0,80.0,77.36264,77.852013
57.0,80.0,77.36264,77.852013
57.0,80.0,77.36264,77.852013
57.0,80.0,77.36264,77.852013
57.0,80.0,77.36264,77.852013
57.0,80.0,77.36264,77.852013
58.0,80.0,77.36264,77.852013
59.0,80.0,77.36264,77.852013
60.0,80.0,77.8022,78.1320495
61.0,80.0,78.24176,78.412086
61.0,80.0,78.24176,78.412086
61.0,80.0,78.24176,78.412086
61.0,80.0,78.24176,78.412086
62.0,80.0,78.24176,78.412086
63.0,80.0,78.24176,78.412086
64.0,80.0,78.24176,78.412086
65.0,80.0,78.888889,78.412086
66.0,80.0,79.536018,78.32341233333334
66.0,80.0,79.536018,78.23473866666666
67.0,80.0,79.536018,78.146065
67.0,80.0,79.536018,78.146065
68.0,80.0,79.536018,78.146065
69.0,80.0,79.9389495,78.146065
70.0,80.0,80.341881,78.146065
70.0,80.0,80.341881,78.146065
