tempo,SP,PV,MV
0,80.0,71.697189,52.135986
1,80.0,72.14895999999999,52.135986
2,80.0,72.600731,52.135986
3,80.0,72.600731,52.135986
4,80.0,72.600731,54.032072
5,80.0,72.600731,55.928158
6,80.0,73.028084,55.928158
7,80.0,73.455437,55.928158
8,80.0,73.455437,55.928158
9,80.0,73.455437,55.928158
10,80.0,74.0170975,57.168884500000004
11,80.0,74.578758,58.409611
12,80.0,74.578758,58.409611
13,80.0,74.578758,58.409611
14,80.0,75.054947,58.409611
15,80.0,75.531136,58.409611
16,80.0,75.531136,59.3012545
17,80.0,75.531136,60.192898
18,80.0,75.531136,60.192898
19,80.0,75.921856,60.192898
20,80.0,76.312576,60.192898
21,80.0,76.312576,60.192898
22,80.0,76.312576,60.62834
23,80.0,76.312576,61.063782
24,80.0,77.1306495,61.063782
25,80.0,77.948723,61.063782
26,80.0,77.948723,61.063782
27,80.0,77.948723,61.063782
28,80.0,77.948723,61.016041
29,80.0,78.583641,60.9683
30,80.0,79.218559,60.9683
31,80.0,79.218559,60.9683
32,80.0,79.218559,60.9683
33,80.0,79.67033,60.9683
34,80.0,80.122101,60.5221425
35,80.0,80.122101,60.075985
36,80.0,80.122101,60.075985
37,80.0,80.8058625,60.075985
38,80.0,81.489624,60.075985
39,80.0,81.489624,60.075985
40,80.0,81.489624,60.075985
41,80.0,81.489624,59.0989915
42,80.0,82.136753,58.121998
43,80.0,82.783882,58.121998
44,80.0,82.783882,58.121998
45,80.0,82.783882,58.121998
46,80.0,83.34554299999999,58.121998
47,80.0,83.907204,56.758713
48,80.0,83.907204,55.395428
49,80.0,83.907204,55.395428
50,80.0,84.3833965,55.395428
51,80.0,84.859589,55.395428
52,80.0,84.859589,55.395428
53,80.0,84.859589,53.71616950000001
54,80.0,84.859589,52.036911
55,80.0,85.470089,52.036911
56,80.0,86.080589,52.036911
57,80.0,86.080589,52.036911
58,80.0,86.080589,52.036911
59,80.0,86.080589,52.036911
60,80.0,86.5811995,49.576557
61,80.0,87.08181,47.116203
62,80.0,87.08181,47.116203
63,80.0,87.08181,47.116203
64,80.0,87.08181,47.116203
65,80.0,87.533581,47.116203
66,80.0,87.985352,44.93396
67,80.0,87.985352,42.751717
68,80.0,87.985352,42.751717
69,80.0,88.2417605,42.751717
70,80.0,88.498169,42.751717
71,80.0,88.498169,42.751717
72,80.0,88.498169,40.403909999999996
73,80.0,88.803421,38.056103
74,80.0,89.108673,38.056103
75,80.0,89.108673,38.056103
76,80.0,89.108673,38.056103
77,80.0,89.108673,38.056103
78,80.0,89.352871,35.169449
79,80.0,89.597069,32.282795
80,80.0,89.597069,32.282795
81,80.0,89.597069,32.282795
82,80.0,89.597069,32.282795
83,80.0,89.7313805,32.282795
84,80.0,89.865692,29.887348
85,80.0,89.865692,27.491901
86,80.0,89.865692,27.491901
87,80.0,89.865692,27.491901
88,80.0,89.768013,27.491901
89,80.0,89.768013,27.491901
90,80.0,89.768013,24.9074465
91,80.0,89.890114,22.322992
92,80.0,90.012215,22.322992
93,80.0,90.012215,22.322992
94,80.0,90.012215,22.322992
95,80.0,90.012215,22.322992
96,80.0,89.90232499999999,22.322992
97,80.0,89.792435,19.59527
98,80.0,89.792435,16.867548
99,80.0,89.792435,16.867548
100,80.0,89.792435,16.867548
101,80.0,89.64591250000001,16.867548
102,80.0,89.49939,14.648602
103,80.0,89.49939,12.429656
104,80.0,89.49939,12.429656
105,80.0,89.34066050000001,12.429656
106,80.0,89.181931,12.429656
107,80.0,89.181931,12.429656
108,80.0,89.181931,10.2021465
109,80.0,88.9865725,7.974637
110,80.0,88.791214,7.974637
111,80.0,88.791214,7.974637
112,80.0,88.791214,7.974637
113,80.0,88.791214,7.974637
114,80.0,88.485962,7.974637
115,80.0,88.18071,5.8756115
116,80.0,88.18071,3.776586
117,80.0,88.18071,3.776586
118,80.0,88.18071,3.776586
119,80.0,87.75336100000001,3.776586
120,80.0,87.326012,3.776586
121,80.0,87.326012,2.1308285
122,80.0,87.326012,0.485071
123,80.0,87.08181,0.485071
124,80.0,86.837608,0.485071
125,80.0,86.837608,0.485071
126,80.0,86.837608,0.2425355
127,80.0,86.36141950000001,0.0
128,80.0,85.885231,0.0
129,80.0,85.885231,0.0
130,80.0,85.885231,0.0
131,80.0,85.885231,0.0
132,80.0,85.54335,0.0
133,80.0,85.201469,0.002694
134,80.0,85.201469,0.005388
135,80.0,85.201469,0.005388
136,80.0,85.201469,0.005388
137,80.0,84.603176,0.005388
138,80.0,84.004883,0.005388
139,80.0,84.004883,0.002694
140,80.0,84.004883,0.0
141,80.0,83.687424,0.0
142,80.0,83.369965,0.0
143,80.0,83.369965,0.0
144,80.0,83.369965,0.0
145,80.0,83.369965,0.0125075
146,80.0,83.003666,0.025015
147,80.0,82.637367,0.025015
148,80.0,82.637367,0.025015
149,80.0,82.637367,0.025015
150,80.0,82.19780349999999,0.025015
151,80.0,81.75824,0.025015
152,80.0,81.75824,0.0139505
153,80.0,81.75824,0.002886
154,80.0,81.75824,0.002886
155,80.0,81.306473,0.002886
156,80.0,80.854706,0.002886
157,80.0,80.854706,0.002886
158,80.0,80.854706,0.126787
159,80.0,80.5006145,0.250688
160,80.0,80.146523,0.250688
161,80.0,80.146523,0.250688
162,80.0,80.146523,0.250688
163,80.0,80.146523,0.250688
164,80.0,79.7313805,0.6140865
165,80.0,79.316238,0.977485
166,80.0,79.316238,0.977485
167,80.0,79.316238,0.977485
168,80.0,79.316238,0.977485
169,80.0,78.8522605,0.977485
170,80.0,78.388283,0.977485
171,80.0,78.388283,1.7343570000000001
172,80.0,78.388283,2.491229
173,80.0,78.388283,2.491229
174,80.0,78.058609,2.491229
175,80.0,77.728935,2.491229
176,80.0,77.728935,2.491229
177,80.0,77.728935,3.3692770000000003
178,80.0,77.728935,4.247325
179,80.0,77.106228,4.247325
180,80.0,76.483521,4.247325
181,80.0,76.483521,4.247325
182,80.0,76.227108,5.4930959999999995
183,80.0,75.970695,6.738867
184,80.0,75.970695,6.738867
185,80.0,75.970695,6.738867
186,80.0,75.6166075,6.738867
187,80.0,75.26252,6.738867
188,80.0,75.26252,8.411522
189,80.0,75.26252,10.084177
190,80.0,74.7985385,10.084177
191,80.0,74.334557,10.084177
192,80.0,74.334557,10.084177
193,80.0,74.334557,10.084177
194,80.0,74.334557,11.7491025
195,80.0,73.9194145,13.414028
196,80.0,73.504272,13.414028
197,80.0,73.504272,13.414028
198,80.0,73.504272,13.414028
199,80.0,73.2600745,13.414028
200,80.0,73.015877,13.414028
201,80.0,73.015877,15.516602500000001
202,80.0,73.015877,17.619177
203,80.0,73.015877,17.619177
204,80.0,72.820515,17.619177
205,80.0,72.625153,17.619177
206,80.0,72.625153,17.619177
207,80.0,72.625153,17.619177
208,80.0,72.625153,21.675858
209,80.0,72.22222149999999,21.675858
210,80.0,71.81929,21.675858
211,80.0,71.81929,21.675858
212,80.0,71.81929,21.675858
213,80.0,71.81929,23.978734000000003
214,80.0,71.85592249999999,26.28161
215,80.0,71.892555,26.28161
216,80.0,71.892555,26.28161
217,80.0,71.892555,26.28161
218,80.0,71.672775,26.28161
219,80.0,71.452995,28.8455045
220,80.0,71.452995,31.409399
221,80.0,71.452995,31.409399
222,80.0,71.233215,31.409399
223,80.0,71.013435,31.409399
224,80.0,71.013435,31.409399
225,80.0,71.013435,33.627488
226,80.0,71.013435,35.845577
227,80.0,70.9890135,35.845577
228,80.0,70.964592,35.845577
229,80.0,70.964592,35.845577
230,80.0,70.964592,35.845577
231,80.0,70.964592,38.28141
232,80.0,70.97680299999999,40.717243
233,80.0,70.989014,40.717243
234,80.0,70.989014,40.717243
235,80.0,71.0134315,40.717243
236,80.0,71.037849,40.717243
237,80.0,71.037849,40.717243
238,80.0,71.037849,43.07884
239,80.0,71.037849,45.440437
240,80.0,71.1111105,45.440437
241,80.0,71.184372,45.440437
242,80.0,71.184372,45.440437
243,80.0,71.184372,47.5991915
244,80.0,71.184372,49.757946
245,80.0,71.24542249999999,49.757946
246,80.0,71.306473,49.757946
247,80.0,71.306473,49.757946
248,80.0,71.306473,49.757946
249,80.0,71.83150499999999,51.578172499999994
250,80.0,72.356537,53.398399
251,80.0,72.356537,53.398399
252,80.0,72.356537,53.398399
253,80.0,72.673996,53.398399
254,80.0,72.991455,53.398399
255,80.0,72.991455,53.398399
256,80.0,72.991455,55.008352
257,80.0,72.991455,56.618305
258,80.0,73.44322600000001,56.618305
259,80.0,73.894997,56.618305
260,80.0,73.894997,56.618305
261,80.0,73.894997,56.618305
262,80.0,73.894997,57.648770999999996
263,80.0,74.3467675,58.679237
264,80.0,74.798538,58.679237
265,80.0,74.798538,58.679237
266,80.0,74.798538,58.679237
267,80.0,75.4945065,58.679237
268,80.0,76.190475,59.4529285
269,80.0,76.190475,60.22662
270,80.0,76.190475,60.22662
271,80.0,76.630035,60.22662
272,80.0,77.069595,60.22662
273,80.0,77.069595,60.22662
274,80.0,77.069595,60.22662
275,80.0,77.069595,60.6263315
276,80.0,77.619049,61.026043
277,80.0,78.168503,61.026043
278,80.0,78.168503,61.026043
279,80.0,78.168503,61.026043
280,80.0,78.168503,60.8668845
281,80.0,78.8766825,60.707726
282,80.0,79.584862,60.707726
283,80.0,79.584862,60.707726
284,80.0,79.584862,60.707726
285,80.0,80.18315150000001,60.707726
286,80.0,80.781441,60.707726
287,80.0,80.781441,60.1431125
288,80.0,80.781441,59.578499
289,80.0,81.3675235,59.578499
290,80.0,81.953606,59.578499
291,80.0,81.953606,59.578499
292,80.0,81.953606,59.578499
293,80.0,81.953606,58.625673500000005
294,80.0,82.49084500000001,57.672848
295,80.0,83.028084,57.672848
296,80.0,83.028084,57.672848
297,80.0,83.028084,57.672848
298,80.0,83.028084,57.672848
299,80.0,83.687424,56.265488000000005
300,80.0,84.346764,54.858128
301,80.0,84.346764,54.858128
302,80.0,84.346764,54.858128
303,80.0,84.346764,54.858128
304,80.0,85.0061035,54.858128
305,80.0,85.665443,54.858128
306,80.0,85.665443,52.708441
307,80.0,85.665443,50.558754
308,80.0,86.01953499999999,50.558754
309,80.0,86.373627,50.558754
310,80.0,86.373627,50.558754
311,80.0,86.373627,50.558754
312,80.0,86.9474985,48.458400499999996
313,80.0,87.52137,46.358047
314,80.0,87.52137,46.358047
315,80.0,87.52137,46.358047
316,80.0,87.52137,46.358047
317,80.0,87.924301,46.358047
318,80.0,88.327232,43.950714
319,80.0,88.327232,41.543381
320,80.0,88.327232,41.543381
321,80.0,88.327232,41.543381
322,80.0,88.68132,41.543381
323,80.0,89.035408,41.543381
324,80.0,89.035408,41.543381
325,80.0,89.18193049999999,38.693718
326,80.0,89.328453,35.844055
327,80.0,89.328453,35.844055
328,80.0,89.328453,35.844055
329,80.0,89.328453,35.844055
330,80.0,89.5238115,33.4347465
331,80.0,89.71917,31.025438
332,80.0,89.71917,31.025438
333,80.0,89.71917,31.025438
334,80.0,89.71917,31.025438
335,80.0,89.84127050000001,31.025438
336,80.0,89.963371,31.025438
337,80.0,89.963371,28.3081655
338,80.0,89.963371,25.590893
339,80.0,89.963371,25.590893
340,80.0,89.9389495,25.590893
341,80.0,89.914528,25.590893
342,80.0,89.914528,25.590893
343,80.0,89.9633715,22.7180795
344,80.0,90.012215,19.845266
345,80.0,90.012215,19.845266
346,80.0,90.012215,19.845266
347,80.0,90.012215,19.845266
348,80.0,89.8412745,19.845266
349,80.0,89.670334,17.543081
350,80.0,89.670334,15.240896
351,80.0,89.670334,15.240896
352,80.0,89.670334,15.240896
353,80.0,89.57265100000001,15.240896
354,80.0,89.474968,15.240896
355,80.0,89.474968,12.8232225
356,80.0,89.474968,10.405549
357,80.0,89.474968,10.405549
358,80.0,89.474968,10.405549
359,80.0,88.937729,10.405549
360,80.0,88.937729,10.405549
361,80.0,88.937729,10.405549
362,80.0,88.6691095,8.131027
363,80.0,88.40049,5.856505
364,80.0,88.40049,5.856505
365,80.0,88.40049,5.856505
366,80.0,88.058609,5.856505
367,80.0,87.716728,5.856505
368,80.0,87.716728,4.0872045
369,80.0,87.716728,2.317904
370,80.0,87.716728,2.317904
371,80.0,87.3504295,2.317904
372,80.0,86.984131,2.317904
373,80.0,86.984131,2.317904
374,80.0,86.984131,1.158952
375,80.0,86.984131,0.0
376,80.0,86.544571,0.0
377,80.0,86.105011,0.0
378,80.0,86.105011,0.0
379,80.0,86.105011,0.0
380,80.0,85.799759,0.0
381,80.0,85.494507,0.0
382,80.0,85.494507,0.0
383,80.0,85.494507,0.0
384,80.0,85.01831849999999,0.0
385,80.0,84.54213,0.0
386,80.0,84.54213,0.0
387,80.0,84.54213,0.0
388,80.0,84.54213,0.0
389,80.0,84.2735065,0.0
390,80.0,84.004883,0.0
391,80.0,84.004883,0.0
392,80.0,84.004883,0.0
393,80.0,84.004883,0.002131
394,80.0,83.5164835,0.004262
395,80.0,83.028084,0.004262
396,80.0,83.028084,0.004262
397,80.0,83.028084,0.004262
398,80.0,82.7228355,0.004262
399,80.0,82.417587,0.004262
400,80.0,82.417587,0.002131
401,80.0,82.417587,0.0
402,80.0,81.990234,0.0
403,80.0,81.562881,0.0
404,80.0,81.562881,0.0
405,80.0,81.562881,0.0
406,80.0,81.562881,0.0525115
407,80.0,81.1111105,0.105023
408,80.0,80.65934,0.105023
409,80.0,80.65934,0.105023
410,80.0,80.65934,0.105023
411,80.0,80.65934,0.3454235
412,80.0,80.195362,0.585824
413,80.0,79.731384,0.585824
414,80.0,79.731384,0.585824
415,80.0,79.731384,0.585824
416,80.0,79.47497150000001,0.585824
417,80.0,79.218559,0.585824
418,80.0,79.218559,0.585824
419,80.0,79.218559,1.599411
420,80.0,78.815628,1.599411
421,80.0,78.412697,1.599411
422,80.0,78.412697,1.599411
423,80.0,78.412697,1.599411
424,80.0,78.412697,2.31047
425,80.0,77.9365085,3.021529
