tempo,SP,PV,MV
0,50.0841459810875,47.7411,58.6746
1,50.0841459810875,47.5946,58.5524
2,50.0841459810875,47.5702,58.5242
3,50.0841459810875,47.5214,58.467
4,50.0841459810875,47.5214,58.467
5,50.0841459810875,47.4969,58.4151
6,50.0841459810875,47.4481,58.3565
7,50.0841459810875,47.4481,58.3565
8,50.0841459810875,47.3993,58.2971
9,50.0841459810875,47.3748,58.2432
10,50.0841459810875,47.3748,58.2432
11,50.0841459810875,47.3504,58.2129
12,50.0841459810875,47.326,58.1581
13,50.0841459810875,47.3016,58.1027
14,50.0841459810875,47.3016,58.1027
15,50.0841459810875,47.2772,58.047
16,50.0841459810875,47.2772,57.997
17,50.0841459810875,47.2772,57.997
18,50.0841459810875,47.2527,57.9659
19,50.0841459810875,47.2283,57.9093
20,50.0841459810875,47.2283,57.8585
21,50.0841459810875,47.2283,57.8585
22,50.0841459810875,47.1795,57.795
23,50.0841459810875,47.2039,57.7497
24,50.0841459810875,47.2039,57.7497
25,50.0841459810875,47.1795,57.6918
26,50.0841459810875,47.1795,57.666
27,50.0841459810875,47.1795,57.666
28,50.0841459810875,47.1551,57.6078
29,50.0841459810875,47.1306,57.5494
30,50.0841459810875,47.1551,57.503
31,50.0841459810875,47.1551,57.503
32,50.0841459810875,47.1551,57.4507
33,50.0841459810875,47.1551,57.4246
34,50.0841459810875,47.1551,57.4246
35,50.0841459810875,47.1551,57.3722
36,50.0841459810875,47.1306,57.3138
37,50.0841459810875,47.1306,57.3138
38,50.0841459810875,47.1551,57.2674
39,50.0841459810875,47.1551,57.215
40,50.0841459810875,47.1795,57.1693
41,50.0841459810875,47.1795,57.1693
42,50.0841459810875,47.2039,57.1497
43,50.0841459810875,47.2283,57.1049
44,50.0841459810875,47.2283,57.1049
45,50.0841459810875,47.2772,57.0667
46,50.0841459810875,47.3016,57.023
47,50.0841459810875,47.326,56.9802
48,50.0841459810875,47.326,56.9802
49,50.0841459810875,47.3748,56.9681
50,50.0841459810875,47.3993,56.9264
51,50.0841459810875,47.3993,56.9264
52,50.0841459810875,47.4481,56.8914
53,50.0841459810875,47.4725,56.8511
54,50.0841459810875,47.4725,56.8511
55,50.0841459810875,47.4969,56.8112
56,50.0841459810875,47.5702,56.7842
57,50.0841459810875,47.5702,56.7619
58,50.0841459810875,47.5702,56.7619
59,50.0841459810875,47.619,56.73
60,50.0841459810875,47.6923,56.7052
61,50.0841459810875,47.6923,56.7052
62,50.0841459810875,47.7411,56.6758
63,50.0841459810875,47.8144,56.6535
64,50.0841459810875,47.8144,56.6535
65,50.0841459810875,47.8388,56.6397
66,50.0841459810875,47.9121,56.6189
67,50.0841459810875,47.9365,56.5869
68,50.0841459810875,47.9365,56.5869
69,50.0841459810875,48.0098,56.5681
70,50.0841459810875,48.1074,56.5567
71,50.0841459810875,48.1074,56.5567
72,50.0841459810875,48.1563,56.5347
73,50.0841459810875,48.2295,56.5364
74,50.0841459810875,48.2784,56.5164
75,50.0841459810875,48.2784,56.5164
76,50.0841459810875,48.3517,56.504
77,50.0841459810875,48.4493,56.4991
78,50.0841459810875,48.4493,56.4991
79,50.0841459810875,48.5226,56.4895
80,50.0841459810875,48.5714,56.4884
81,50.0841459810875,48.5714,56.4884
82,50.0841459810875,48.6447,56.4811
83,50.0841459810875,48.7179,56.4753
84,50.0841459810875,48.8156,56.4771
85,50.0841459810875,48.8156,56.4771
86,50.0841459810875,48.8889,56.4743
87,50.0841459810875,48.9866,56.4795
88,50.0841459810875,48.9866,56.4795
89,50.0841459810875,49.0354,56.4826
90,50.0841459810875,49.1087,56.484
91,50.0841459810875,49.1087,56.484
92,50.0841459810875,49.1819,56.4866
93,50.0841459810875,49.2552,56.4904
94,50.0841459810875,49.3284,56.4959
95,50.0841459810875,49.3284,56.4959
96,50.0841459810875,49.3773,56.5022
97,50.0841459810875,49.475,56.5161
98,50.0841459810875,49.475,56.5161
99,50.0841459810875,49.5727,56.5317
100,50.0841459810875,49.6459,56.5428
101,50.0841459810875,49.6459,56.5428
102,50.0841459810875,49.7192,56.5554
103,50.0841459810875,49.8168,56.5756
104,50.0841459810875,49.8413,56.5801
105,50.0841459810875,49.8413,56.5801
106,50.0841459810875,49.9389,56.6025
107,50.0841459810875,50.0366,56.6267
108,50.0841459810875,50.0366,56.6267
109,50.0841459810875,50.1099,56.6462
110,50.0841459810875,50.2076,56.6736
111,50.0841459810875,50.2564,56.6879
112,50.0841459810875,50.2564,56.6879
113,50.0841459810875,50.3541,56.7179
114,50.0841459810875,50.4518,56.7497
115,50.0841459810875,50.4518,56.7497
116,50.0841459810875,50.525,56.7769
117,50.0841459810875,50.5983,56.8054
118,50.0841459810875,50.5983,56.8054
119,50.0841459810875,50.696,56.8417
120,50.0841459810875,50.7204,56.8543
121,50.0841459810875,50.7937,56.8866
122,50.0841459810875,50.7937,56.8866
123,50.0841459810875,50.9158,56.9327
124,50.0841459810875,50.989,56.9683
125,50.0841459810875,50.989,56.9683
