tempo,SP,PV,MV
0,1.22507036,1.2217496494117648,391.1989063529412
10,1.22507036,1.22658284,392.198822
20,1.22507036,1.2201103663265307,391.3846804897959
30,1.22507036,1.2178890826,390.74739872
40,1.22507036,1.223920296,391.2011228
50,1.22507036,1.2263599644,392.667816
60,1.22507036,1.218569833,391.11286486
70,1.22507036,1.2217076327999998,391.09349399999996
80,1.22507036,1.2251903788,391.85959836
90,1.22507036,1.2249480752941178,392.22995
100,1.22507036,1.2248859456,392.13474846
110,1.22507036,1.2259887664,392.47364
120,1.22507036,1.2224149720000002,392.02723
130,1.22507036,1.2269966886,392.1926
140,1.22507036,1.2249064024,392.24876028
150,1.22507036,1.2196206040816326,391.26309375510203
160,1.22507036,1.2223795899999998,391.1620484
170,1.22507036,1.222096151764706,391.7973
180,1.22507036,1.2217470128,391.49141354
190,1.22507036,1.2259254088,391.96922354
200,1.22507036,1.2213051320000001,391.7854796
210,1.22507036,1.2183673346938775,390.7641
220,1.22507036,1.2260986094,392.07362356
230,1.22507036,1.2266670398,392.593089
240,1.22507036,1.2227841605882355,392.13766670588234
250,1.22507036,1.2230031558,391.205627
260,1.22507036,1.2285947106000001,392.65734994
270,1.22507036,1.2243459774,392.41161625999996
280,1.22507036,1.2228621417647059,391.4708180588235
290,1.22507036,1.227608605882353,392.517242
300,1.22507036,1.2231972992,391.98886944
310,1.22507036,1.2212910000000001,391.32914614
320,1.22507036,1.2254704906,391.5182454
330,1.22507036,1.2249126046,392.640228
340,1.22507036,1.2226441894117648,391.62502470588237
350,1.22507036,1.226338687,392.11642304000003
360,1.22507036,1.2236731148,392.2905668
370,1.22507036,1.2216887528,390.968384
380,1.22507036,1.2266236329411766,392.2492051176471
390,1.22507036,1.2296098354,392.94209092
400,1.22507036,1.2286816459183674,393.07478291836736
410,1.22507036,1.2272841248000002,392.6475
420,1.22507036,1.2265716638,392.41617873999996
430,1.22507036,1.2258061242,392.39564826000003
440,1.22507036,1.22507976,392.293465
450,1.22507036,1.224960423877551,392.036133
460,1.22507036,1.2249335799999999,392.0940614
470,1.22507036,1.2236223574,391.96461
480,1.22507036,1.2235419751020409,391.5869280204082
490,1.22507036,1.2265582332,391.5869280204082
500,1.22507036,1.224032294117647,391.9895182352941
510,1.22507036,1.224032294117647,391.9895182352941
520,1.22507036,1.2214559704081633,391.33951387755104
530,1.22507036,1.2285036299999998,391.94568158
540,1.22507036,1.2284172394117647,393.101257
550,1.22507036,1.2263243175510203,392.42452530612246
560,1.22507036,1.2280072986,392.61458836
570,1.22507036,1.228448419,392.77426164
580,1.22507036,1.225112512,392.558746
590,1.22507036,1.2256855454,392.2084921
600,1.22507036,1.2247769918367346,392.22131
610,1.22507036,1.223291689387755,391.80013673469387
620,1.22507036,1.224654255,391.948944
630,1.22507036,1.2262122058823528,392.24153182352944
640,1.22507036,1.222073414117647,391.9091888235294
650,1.22507036,1.2223393364000001,391.37648751999996
660,1.22507036,1.2265825002,392.159943
670,1.22507036,1.2225188716,391.7248269
680,1.22507036,1.2261947136,391.8107445
690,1.22507036,1.229182884117647,392.68547058823526
700,1.22507036,1.2253465241176469,392.574921
710,1.22507036,1.2239049720000001,391.95582034
720,1.22507036,1.2296620453061224,392.70875551020407
730,1.22507036,1.227043106122449,393.04944367346934
740,1.22507036,1.2221672847058824,391.7962
750,1.22507036,1.2261686868000001,392.25628997999996
760,1.22507036,1.2283747806,392.84819648
770,1.22507036,1.2227330164705883,392.2053507058824
780,1.22507036,1.2206286304,391.355469
790,1.22507036,1.2228110612,391.58890852
800,1.22507036,1.2262631967346938,392.1873678163265
810,1.22507036,1.222889058,391.8918669
820,1.22507036,1.224668901,391.885284
830,1.22507036,1.2292476170588236,392.8528217647059
840,1.22507036,1.228363274,393.0549828
850,1.22507036,1.2253872860000001,392.63169999999997
860,1.22507036,1.2292407306,392.243958
870,1.22507036,1.2307041892,393.30267054
880,1.22507036,1.2243626688,392.36582446
890,1.22507036,1.2254224614,392.08695098
900,1.22507036,1.2252462666,392.51712
910,1.22507036,1.2228722089795918,391.74816479591834
920,1.22507036,1.2252694556000001,392.0039787
930,1.22507036,1.2275095778,392.4429203
940,1.22507036,1.2263754858,392.746
950,1.22507036,1.2221210978000001,391.69698950000003
960,1.22507036,1.2261524752,392.01140728
970,1.22507036,1.2309341234693878,392.9948044897959
980,1.22507036,1.2273544141176471,392.8816
990,1.22507036,1.22891114,392.90779772
1000,1.22507036,1.2296990632,393.20299388
1010,1.22507036,1.224996509387755,392.69212875510203
1020,1.22507036,1.2276396946938775,392.399231
1030,1.22507036,1.2298443000000001,393.07453428
1040,1.22507036,1.2233921808,392.33269246
1050,1.22507036,1.2228851254,391.76991626
1060,1.22507036,1.2269383824,392.281677
1070,1.22507036,1.2233936212,392.017514
1080,1.22507036,1.2228308164705881,391.6071294117647
1090,1.22507036,1.2257350602,392.00566200000003
1100,1.22507036,1.227787728,392.847229
1110,1.22507036,1.2261544738,392.33047666
1120,1.22507036,1.226486304,392.4131284
1130,1.22507036,1.2308758530612245,392.9099020612245
1140,1.22507036,1.2303011879999999,393.700348
1150,1.22507036,1.2234354471428572,392.05169804081635
1160,1.22507036,1.2232553743999999,391.65032272
1170,1.22507036,1.229345952352941,392.5145564705883
1180,1.22507036,1.2267748402,393.252747
1190,1.22507036,1.2208016108,391.61111174
1200,1.22507036,1.2264570052941177,391.9895270588235
1210,1.22507036,1.228067649,392.79949872000003
