tempo,SP,PV,MV
11231,80,84.004883,0.2816405
11232,80,83.431015,0.041916
11233,80,82.857147,0.041916
11234,80,82.857147,0.041916
11235,80,82.3809545,0.041916
11236,80,81.904762,0.041916
11237,80,81.904762,0.041916
11238,80,81.904762,0.066554
11239,80,81.904762,0.091192
11240,80,81.26984,0.091192
11241,80,80.634918,0.091192
11243,80,80.634918,0.091192
11244,80,80.634918,0.4059005
11245,80,80.0488395,0.720609
11246,80,79.462761,0.720609
11247,80,79.462761,0.720609
11248,80,79.462761,0.720609
11249,80,79.462761,0.720609
11250,80,78.84005,1.44781
11251,80,78.217339,2.175011
11252,80,78.217339,2.175011
11253,80,78.217339,2.175011
11254,80,77.7899895,2.175011
11255,80,77.36264,2.175011
11256,80,77.36264,2.175011
11257,80,77.36264,3.3734125
11258,80,76.8009795,4.571814
11259,80,76.239319,4.571814
11260,80,76.239319,4.571814
11261,80,76.239319,4.571814
11262,80,76.239319,5.996775
11263,80,75.6288185,7.421736
11264,80,75.018318,7.421736
11265,80,75.018318,7.421736
11266,80,75.018318,7.421736
11267,80,75.018318,7.421736
11268,80,74.4566575,7.421736
11269,80,73.894997,9.341573
11270,80,73.894997,11.26141
11271,80,73.894997,11.26141
11272,80,73.369965,11.26141
11273,80,72.844933,11.26141
11274,80,72.844933,11.26141
11275,80,72.844933,11.26141
11276,80,72.844933,13.8549175
11277,80,72.503052,16.448425
11278,80,72.161171,16.448425
11279,80,72.161171,16.448425
11280,80,72.161171,16.448425
11281,80,72.161171,16.448425
11282,80,71.6605605,16.448425
11283,80,71.15995,18.8296555
11284,80,71.15995,21.210886
11285,80,71.15995,21.210886
11286,80,71.15995,21.210886
11287,80,70.842491,21.210886
11288,80,70.525032,21.210886
11289,80,70.525032,23.9583195
11290,80,70.525032,26.705753
11291,80,70.525032,26.705753
11292,80,70.0610505,26.705753
11293,80,69.597069,26.705753
11294,80,69.597069,26.705753
11295,80,69.4261285,29.900112
11296,80,69.255188,33.094471
11297,80,69.255188,33.094471
11298,80,69.255188,33.094471
11299,80,69.255188,33.094471
11300,80,68.913307,35.969908
11301,80,68.571426,38.845345
11303,80,68.571426,38.845345
11304,80,68.5103795,38.845345
