tempo,SP,PV,MV
9700,80,89.084251,13.666047
9701,80,88.79121,13.666047
9702,80,88.498169,13.666047
9703,80,88.498169,13.666047
9704,80,88.498169,11.4978185
9705,80,88.498169,9.32959
9706,80,88.2295495,9.32959
9707,80,87.96093,9.32959
9708,80,87.96093,9.32959
9709,80,87.96093,9.32959
9710,80,87.96093,7.574768
9711,80,87.74115,5.819946
9712,80,87.52137,5.819946
9713,80,87.52137,5.819946
9714,80,87.52137,5.819946
9715,80,87.1550675,5.819946
9716,80,86.788765,4.245675
9717,80,86.788765,2.671404
9718,80,86.788765,2.671404
9719,80,86.788765,2.671404
9720,80,86.3736265,2.671404
9721,80,85.958488,2.671404
9722,80,85.958488,1.335702
9723,80,85.958488,0
9724,80,85.5067175,0
9725,80,85.054947,0
9726,80,85.054947,0
9727,80,85.054947,0
9728,80,85.054947,0
9729,80,84.5909655,0
9730,80,84.126984,0
9731,80,84.126984,0
9732,80,84.126984,0
9733,80,83.785103,0
9734,80,83.443222,0.007788
9735,80,83.443222,0.015576
9736,80,83.443222,0.015576
9737,80,83.443222,0.015576
9738,80,83.015873,0.015576
9739,80,82.588524,0.015576
9740,80,82.588524,0.015576
9741,80,82.588524,0.0447755
9742,80,82.588524,0.073975
9743,80,82.173382,0.073975
9744,80,81.75824,0.073975
9745,80,81.75824,0.073975
9746,80,81.75824,0.073975
9747,80,81.75824,0.05313
9748,80,81.31868,0.032285
9749,80,80.87912,0.032285
9750,80,80.87912,0.032285
9751,80,80.87912,0.032285
9752,80,80.87912,0.032285
9753,80,80.451771,0.032285
9754,80,80.024422,0.242764
9755,80,80.024422,0.453243
9756,80,80.024422,0.453243
9757,80,80.024422,0.453243
9758,80,79.462761,0.453243
9759,80,79.462761,0.453243
9760,80,79.462761,0.952938
9761,80,79.462761,1.452633
9762,80,78.937729,1.452633
9763,80,78.412697,1.452633
9764,80,78.412697,1.452633
9765,80,78.412697,1.452633
9766,80,78.095238,2.1523545
9767,80,77.777779,2.852076
9768,80,77.777779,2.852076
9769,80,77.777779,2.852076
9770,80,77.423687,2.852076
9771,80,77.069595,2.852076
9772,80,77.069595,4.0682435
9773,80,77.069595,5.284411
9774,80,76.788765,5.284411
9775,80,76.507935,5.284411
9776,80,76.507935,5.284411
9777,80,76.507935,5.284411
9778,80,76.1172145,6.423123
9779,80,75.726494,7.561835
